type;sourceName;sourceVersion;creationDate;startDate;endDate
HKCategoryTypeIdentifierMindfulSession;Headspace;246;2017-01-19 01:32:58 -0400;2017-01-19 01:19:08 -0400;2017-01-19 01:32:40 -0400
HKCategoryTypeIdentifierMindfulSession;Headspace;246;2017-01-19 01:33:22 -0400;2017-01-19 01:33:17 -0400;2017-01-19 01:33:22 -0400
HKCategoryTypeIdentifierMindfulSession;Headspace;246;2017-01-20 00:05:04 -0400;2017-01-19 23:53:26 -0400;2017-01-20 00:05:04 -0400
HKCategoryTypeIdentifierMindfulSession;Headspace;5175;2017-08-02 00:02:27 -0400;2017-08-01 23:50:56 -0400;2017-08-02 00:02:27 -0400
